Test1,Test2,Test3,Final,Grade,Sum
40.0,90.0,100.0,83.0,"  ""D-""",313.0
41.0,97.0,96.0,48.0,"   ""D+""",282.0
41.0,80.0,60.0,44.0,"   ""C""",225.0
42.0,23.0,36.0,47.0,"   ""B-""",148.0
43.0,78.0,88.0,45.0,"   ""A-""",254.0
44.0,90.0,80.0,46.0,"   ""C-""",260.0
45.0,11.0,-1.0,43.0,"   ""F""",98.0
46.0,20.0,30.0,50.0,"   ""B+""",146.0
49.0,1.0,90.0,83.0,"   ""A""",223.0
48.0,1.0,97.0,97.0,"   ""A+""",243.0
44.0,1.0,80.0,40.0,"   ""D+""",165.0
47.0,1.0,23.0,45.0,"   ""C+""",116.0
45.0,1.0,78.0,77.0,"   ""B-""",201.0
50.0,1.0,90.0,90.0,"   ""B-""",231.0
40.0,1.0,11.0,4.0,"   ""B""",56.0
30.0,1.0,20.0,40.0,"   ""C""",91.0
